Feature,Importance,Mean_SHAP
XPNPEP3,0.0008852758843984119,9.357989824289623e-05
RPS6KA1,0.0008820055275827065,8.225621225175809e-05
GZMM,0.0008810377965989805,0.00011528533670593247
TCF4,0.000875317307784351,3.000302707171409e-05
TMEM109,0.000870421219060737,-0.00013148062378761608
CIPC,0.0008696951004498219,-0.00013501148380460758
ALG10,0.0008691986744576477,0.00045921301360884635
CBX8,0.0008676976073940437,0.0003146570439406398
FOXN3-AS1,0.000867336582442623,-0.00017489736783213736
AQR,0.0008630799045332746,-0.0001584725457161036
TGFBR1,0.0008608756226454943,-0.00010303979529468311
ZCCHC8,0.0008584272934368145,0.00018142015417923403
CSTF2,0.0008540925686406424,0.0001257928025733871
PPP3CC,0.0008469082065180526,0.00010721969431087358
DCAF10,0.0008406705540968493,0.00013784984538980785
KCTD5,0.0008377133707072776,3.6052659954850845e-05
RAB3GAP1,0.0008371486086706115,-8.08010538495244e-05
PLA2G4C,0.0008370650169816821,0.0001263147656790064
TCP1,0.0008359820010169955,3.0079516727085702e-05
CD40,0.0008352149984992316,9.773709920715364e-05
SLC1A7,0.0008348499508004893,0.00022169016939669489
TRIM65,0.000832365845515281,-0.00017180846942738967
CERS4,0.0008268480553219714,-5.742321986754654e-05
ZNF460,0.0008243399109493557,6.598853303374454e-05
RIOX1,0.000823264823412351,0.00011648494777344296
PLPP7,0.0008210801058764106,0.00017540187630645304
NDUFS1,0.000819380054050212,0.00031746942969590713
TTC9,0.000814334228950273,-4.1517038946518186e-05
BCAT1,0.0008112978638151255,-1.7412440363937954e-05
NBAS,0.0008093248835623118,0.0003089642125210222
FGD3,0.0008069440330342501,1.9450283542483968e-05
KLF2,0.000805060498481916,1.7668662642947926e-05
PPM1D,0.0008044862635853936,-0.00010291687680338596
RPS6KA2,0.0007995653158659433,0.0003053539425269405
RRM1,0.0007992499033614288,0.00011865506923490646
EZH2,0.0007975699683623306,0.0003407467257383033
TAF9,0.0007975520752028515,0.00015090216724255418
IRF1,0.0007957036726587876,7.174187612097446e-05
HMGB3,0.0007901786639324884,-0.00042851053356778577
FRA10AC1,0.0007887978757494387,0.0005383501537660841
ANXA2R-AS1,0.0007875553329589452,0.000118092865027206
ATAD3C,0.0007855294081412876,-0.00012128103287769455
DDX5,0.0007824555676225459,7.619507296685395e-05
UPF3A,0.0007810151696944139,6.425902697182035e-05
MSH3,0.0007806026984239013,7.08990897603082e-05
TAOK3,0.000779413453262998,-3.202802284042248e-05
SPAG16,0.0007787695589051995,0.0003294517661705261
PSD,0.000778130101556427,0.00010810898757366568
XPOT,0.0007765869932970488,0.00013302487304822904
SMC3,0.0007753860230742259,0.00019867371668124033
ABO,0.0007745262960343641,3.327402911770361e-05
TM7SF3,0.0007744177230258437,-0.0001188880901552274
SLC35A4,0.0007743477667038627,2.4866307854194867e-05
WDR6,0.0007733839942769019,-0.0001261599195025819
NEIL1,0.0007720671365784651,3.3628216468846006e-05
PLBD2,0.0007718735171363865,-5.06169032145714e-05
TBKBP1,0.0007711558897004493,0.00027733526149349464
FOXK2,0.0007668035472983142,0.0004002015708757002
STUB1,0.0007653992139502373,-5.125244682072681e-05
ABCG1,0.0007619353267924059,7.728171056545032e-05
CEP128,0.0007577826162447652,-0.00014201441922993417
CREB3,0.0007574882521366441,-0.00011631136808983642
CDKN1B,0.000756944733101108,6.417190180867078e-05
RNU4ATAC,0.0007566915219049772,8.425101366299005e-05
TUBB,0.0007564449207178819,0.00023437518637293924
PSME3IP1,0.0007564328033096306,0.00023612565083809656
ERMARD,0.0007535711644520319,0.00010546688520529414
NAXE,0.0007509245129138077,-3.0727460546902005e-05
DLEU2,0.0007482553402485635,-3.4366064028615806e-05
DDX56,0.0007480490066596348,-0.0002784071012349038
PCOLCE,0.0007456943652146682,0.00026800492069563347
PITPNM1,0.0007455445458176682,-0.0001536901501291921
RPS10P15,0.0007443823550926307,-0.00036638542164148653
